submission_id,problem_id,user_id,date,language,original_language,filename_ext,status,cpu_time,memory,code_size,accuracy
s807722522,p00002,u923573620,1535597225,Python,Python3,py,Accepted,20,5588,107,1/1
s640585245,p00002,u483716678,1546359216,Python,Python,py,Runtime Error,0,0,123,0/1
s236447306,p00002,u563307622,1556437878,Python,Python3,py,Wrong Answer,20,5592,91,0/1
s637846234,p00002,u990459103,1558936382,Python,Python3,py,Runtime Error,0,0,133,0/1
s700614061,p00002,u477023447,1558936872,Python,Python3,py,Accepted,20,5592,172,1/1
s069539224,p00002,u814278309,1559141068,Python,Python3,py,Wrong Answer,20,5652,75,0/1
s361032758,p00002,u696166817,1409300383,Python,Python,py,Accepted,10,4196,166,1/1
s830063558,p00002,u558004042,1411839760,Python,Python3,py,Accepted,30,6720,288,1/1
s850456244,p00002,u506132575,1416065767,Python,Python,py,Wrong Answer,10,4208,127,0/1
s156021286,p00002,u506132575,1416065885,Python,Python,py,Accepted,10,4204,127,1/1
s321942248,p00002,u631118941,1419332476,Python,Python,py,Accepted,20,4200,205,1/1
s102221185,p00002,u989992553,1420877578,Python,Python,py,Accepted,10,4188,126,1/1
s469104879,p00002,u888595898,1428749577,Python,Python,py,Wrong Answer,10,4396,236,0/1
s417108915,p00002,u308369184,1430557913,Python,Python3,py,Accepted,40,6724,140,1/1
s933506075,p00002,u067299340,1432038941,Python,Python,py,Accepted,10,4180,71,1/1
s357823419,p00002,u067299340,1432040029,Python,Python,py,Accepted,20,4184,70,1/1
s737455535,p00002,u631023380,1432376542,Python,Python,py,Accepted,10,4188,150,1/1
s754948456,p00002,u873482706,1434186126,Python,Python,py,Accepted,20,4204,342,1/1
s412701741,p00002,u622015302,1434826099,Python,Python,py,Runtime Error,0,0,95,0/1
s101536421,p00002,u126202702,1443538599,Python,Python,py,Runtime Error,0,0,163,0/1
s832268602,p00002,u071010747,1445167477,Python,Python3,py,Accepted,30,7604,562,1/1
s213464628,p00002,u362869314,1447175977,Python,Python3,py,Runtime Error,0,0,81,0/1
s019615126,p00002,u775586391,1447930115,Python,Python3,py,Runtime Error,0,0,93,0/1
s668365582,p00002,u982618289,1449288068,Python,Python3,py,Runtime Error,0,0,310,0/1
s834238625,p00002,u982618289,1449488897,Python,Python3,py,Runtime Error,0,0,314,0/1
s613808916,p00002,u073564985,1452599434,Python,Python,py,Wrong Answer,10,6364,306,0/1
s081775880,p00002,u073564985,1452599542,Python,Python,py,Accepted,10,6228,310,1/1
s608659542,p00002,u766477342,1456655271,Python,Python3,py,Accepted,50,7532,100,1/1
s103651400,p00002,u867824281,1456751513,Python,Python,py,Accepted,10,6312,126,1/1
s771522537,p00002,u106298487,1457077933,Python,Python,py,Wrong Answer,10,6720,113,0/1
s749691153,p00002,u075836834,1457976573,Python,Python3,py,Runtime Error,0,0,106,0/1
s173045159,p00002,u915343634,1458271371,Python,Python3,py,Runtime Error,0,0,223,0/1
s414193697,p00002,u919202930,1459592197,Python,Python3,py,Runtime Error,0,0,75,0/1
s198858647,p00002,u919202930,1459596457,Python,Python3,py,Runtime Error,0,0,90,0/1
s995634636,p00002,u310875948,1459698437,Python,Python3,py,Runtime Error,0,0,162,0/1
s259297456,p00002,u130979865,1459852989,Python,Python,py,Runtime Error,0,0,124,0/1
