FileName,FunctionName,LoopNumber,LoopNestDepth,ExitBranchCount,InstCount,ArrayAccessCount,ComparisonToZeroCount,ComparisonToConstantCount,IntCmpCount,FloatCmpCount,DoubleCmpCount,PointerCmpCount,NullPointerCmpCount,MemAccessCount,ExpressionCount,IfStmtCount,FunctionCallCount,AssignmentCount,MinArrSize,MaxArrSize,NumNodes,CyclomaticComplexity,AddInstCount,AllocaInstCount,AndInstCount,OrInstCount,BitcastInstCount,BranchInstCount,DivisionInstCount,FMulInstCount,MulInstCount,LoadInstCount,PhiInstCount,StoreInstCount,SubInstCount,ExitCounterValue,MaxLiveVars
s282509676.c,main,0,1,1,13,5,0,0,1,0,0,0,0,5,2,0,1,1,0,0,3,2,1,0,0,0,0,3,0,0,0,4,0,1,0,-1,5
s282509676.c,main,1,1,1,20,8,0,1,2,0,0,0,0,8,5,1,0,2,110,110,5,3,2,0,0,0,0,5,0,0,0,6,0,2,0,-1,8
s018507765.c,main,0,1,1,11,4,0,0,1,0,0,0,0,4,3,0,1,1,0,0,3,2,1,0,0,0,0,3,0,0,0,3,0,1,1,-1,6
s452942259.c,main,0,1,1,23,8,2,2,3,0,0,0,0,8,7,2,1,2,0,0,7,4,2,0,0,0,0,7,0,0,0,6,0,2,0,-1,5
s645912552.c,main,0,1,1,13,5,0,0,1,0,0,0,0,5,2,0,1,1,0,0,3,2,1,0,0,0,0,3,0,0,0,4,0,1,0,-1,5
s346149232.c,gcd,0,1,1,12,8,1,1,1,0,0,0,0,8,2,0,0,3,0,0,2,2,0,0,0,0,0,2,0,0,0,5,0,3,0,-1,8
s346149232.c,nCr,0,1,1,20,11,0,0,1,0,0,0,0,11,6,0,0,3,0,0,3,2,2,0,0,0,0,3,1,0,1,8,0,3,1,-1,12
s346149232.c,fact,0,1,1,13,7,0,0,1,0,0,0,0,7,3,0,0,2,0,0,3,2,1,0,0,0,0,3,0,0,1,5,0,2,0,-1,5
s346149232.c,pow,0,1,1,13,7,0,0,1,0,0,0,0,7,3,0,0,2,0,0,3,2,1,0,0,0,0,3,0,0,1,5,0,2,0,-1,5
s346149232.c,llgcd,0,1,1,12,8,1,1,1,0,0,0,0,8,2,0,0,3,0,0,2,2,0,0,0,0,0,2,0,0,0,5,0,3,0,-1,8
s346149232.c,llnCr,0,1,1,20,11,0,0,1,0,0,0,0,11,6,0,0,3,0,0,3,2,2,0,0,0,0,3,1,0,1,8,0,3,1,-1,12
s346149232.c,llfact,0,1,1,13,7,0,0,1,0,0,0,0,7,3,0,0,2,0,0,3,2,1,0,0,0,0,3,0,0,1,5,0,2,0,-1,5
s346149232.c,llpow,0,1,1,13,7,0,0,1,0,0,0,0,7,3,0,0,2,0,0,3,2,1,0,0,0,0,3,0,0,1,5,0,2,0,-1,5
s346149232.c,main,0,1,1,13,5,0,0,1,0,0,0,0,5,2,0,1,1,0,0,3,2,1,0,0,0,0,3,0,0,0,4,0,1,0,-1,5
s346149232.c,main,1,1,1,27,11,0,1,1,0,0,0,0,11,3,0,2,2,2048,2048,3,2,2,0,0,0,0,3,0,0,0,9,0,2,0,-1,22
s346149232.c,main,2,1,1,27,11,0,1,1,0,0,0,0,11,3,0,2,2,2048,2048,3,2,2,0,0,0,0,3,0,0,0,9,0,2,0,-1,22
s346149232.c,main,3,1,1,101,53,1,1,6,0,0,0,0,53,13,5,2,16,2048,2048,17,7,4,0,0,0,0,17,0,0,0,37,0,16,3,-1,15
s346149232.c,main,4,2,1,25,12,0,0,2,0,0,0,0,12,4,1,0,3,2048,2048,5,3,2,0,0,0,0,5,0,0,0,9,0,3,0,-1,9
s346149232.c,main,5,2,1,25,12,0,0,2,0,0,0,0,12,4,1,0,3,2048,2048,5,3,2,0,0,0,0,5,0,0,0,9,0,3,0,-1,9
s837338362.c,main,0,1,1,13,5,0,0,1,0,0,0,0,5,2,0,1,1,0,0,3,2,1,0,0,0,0,3,0,0,0,4,0,1,0,-1,5
s837338362.c,main,1,1,1,25,9,0,2,3,0,0,0,0,9,8,2,0,2,110,110,6,4,3,0,0,0,0,6,0,0,0,7,0,2,0,-1,8
s054614938.c,main,0,1,1,13,5,0,0,1,0,0,0,0,5,2,0,1,1,0,0,3,2,1,0,0,0,0,3,0,0,0,4,0,1,0,-1,5
s054614938.c,main,1,1,1,80,41,0,0,6,0,0,0,0,41,10,5,0,12,100010,100010,17,7,4,0,0,0,0,17,0,0,0,29,0,12,0,-1,12
s054614938.c,main,2,2,1,22,10,0,0,2,0,0,0,0,10,3,1,0,2,100010,100010,5,3,1,0,0,0,0,5,0,0,0,8,0,2,0,-1,12
